============================================================
Distillation Sweep: code
Configs: A_fast, B_medium, C_gentle, D_long
============================================================
  Launching A_fast: /usr/bin/python3.13 train_code.py A_fast
  Launching B_medium: /usr/bin/python3.13 train_code.py B_medium
  Launching C_gentle: /usr/bin/python3.13 train_code.py C_gentle
  Launching D_long: /usr/bin/python3.13 train_code.py D_long

Monitoring 4 configs...
  [01:55:10] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [01:55:40] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [01:56:10] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [01:56:40] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [01:57:10] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [01:57:40] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [01:58:10] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [01:58:40] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [01:59:10] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [01:59:40] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:00:10] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:00:40] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:01:10] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:01:40] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:02:10] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:02:40] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:03:10] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:03:40] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:04:10] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:04:40] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:05:10] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:05:40] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:06:10] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:06:40] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:07:10] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:07:40] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:08:10] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:08:40] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:09:10] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:09:40] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:10:10] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:10:40] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:11:11] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:11:41] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:12:11] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:12:41] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:13:11] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:13:41] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:14:11] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:14:41] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:15:11] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:15:41] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:16:11] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:16:41] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:17:11] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:17:41] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:18:11] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:18:41] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:19:11] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:19:41] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:20:11] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:20:41] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:21:11] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:21:41] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:22:11] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:22:41] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:23:11] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:23:41] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:24:11] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:24:41] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:25:11] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:25:41] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:26:11] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:26:41] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:27:11] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:27:41] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:28:11] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:28:41] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:29:11] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:29:41] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:30:11] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:30:41] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:31:11] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:31:41] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:32:11] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:32:41] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:33:11] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:33:41] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:34:11] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:34:41] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:35:11] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:35:41] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:36:11] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:36:41] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:37:11] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:37:41] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:38:11] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:38:41] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:39:11] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:39:41] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:40:11] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:40:41] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:41:11] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:41:41] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:42:11] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:42:41] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:43:11] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:43:41] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:44:11] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:44:41] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:45:11] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:45:42] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:46:12] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:46:42] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:47:12] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:47:42] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:48:12] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:48:42] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:49:12] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:49:42] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:50:12] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:50:42] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:51:12] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:51:42] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:52:12] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:52:42] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:53:12] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:53:42] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
