============================================================
Distillation Sweep: math
Configs: A_fast, B_medium, C_gentle, D_long
============================================================
  Launching A_fast: /usr/bin/python3.13 train_math.py A_fast
  Launching B_medium: /usr/bin/python3.13 train_math.py B_medium
  Launching C_gentle: /usr/bin/python3.13 train_math.py C_gentle
  Launching D_long: /usr/bin/python3.13 train_math.py D_long

Monitoring 4 configs...
  [01:55:08] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [01:55:38] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [01:56:08] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [01:56:38] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [01:57:08] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [01:57:38] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [01:58:08] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [01:58:38] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [01:59:08] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [01:59:38] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:00:08] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:00:38] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:01:08] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:01:38] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:02:08] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:02:38] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:03:08] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:03:38] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:04:08] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:04:38] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:05:08] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:05:38] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:06:08] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:06:38] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:07:08] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:07:38] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:08:09] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:08:39] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:09:09] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:09:39] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:10:09] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:10:39] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:11:09] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:11:39] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
